Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
3-Apr-02, 4.1935 ,17-Apr-02, 0.8134 ,,,2-May-02, 1.3587 ,10-May-02, 0.0261 
4-Apr-02, 4.1849 ,18-Apr-02, 0.8125 ,,,3-May-02, 1.3589 ,13-May-02, 0.0261 
5-Apr-02, 4.1825 ,19-Apr-02, 0.8126 ,,,6-May-02, 1.3594 ,14-May-02, 0.0261 
9-Apr-02, 4.1852 ,22-Apr-02, 0.7984 ,,,7-May-02, 1.3596 ,15-May-02, 0.0261 
10-Apr-02, 4.1971 ,23-Apr-02, 0.7962 ,,,8-May-02, 1.3597 ,16-May-02, 0.0262 
11-Apr-02, 4.2567 ,24-Apr-02, 0.7888 ,,,9-May-02, 1.3599 ,17-May-02, 0.0262 
12-Apr-02, 4.2270 ,25-Apr-02, 0.7762 ,,,10-May-02, 1.3601 ,20-May-02, 0.0262 
15-Apr-02, 4.2249 ,26-Apr-02, 0.7738 ,,,13-May-02, 1.3606 ,21-May-02, 0.0262 
16-Apr-02, 4.2081 ,29-Apr-02, 0.7696 ,,,14-May-02, 1.3608 ,22-May-02, 0.0262 
17-Apr-02, 4.2638 ,30-Apr-02, 0.7848 ,,,15-May-02, 1.3610 ,23-May-02, 0.0262 
18-Apr-02, 4.2398 ,2-May-02, 0.7933 ,,,16-May-02, 1.3612 ,24-May-02, 0.0262 
19-Apr-02, 4.2249 ,3-May-02, 0.7995 ,,,17-May-02, 1.3613 ,27-May-02, 0.0263 
22-Apr-02, 4.1837 ,6-May-02, 0.7905 ,,,20-May-02, 1.3619 ,28-May-02, 0.0263 
23-Apr-02, 4.1568 ,7-May-02, 0.7837 ,,,21-May-02, 1.3621 ,29-May-02, 0.0263 
24-Apr-02, 4.1080 ,8-May-02, 0.7846 ,,,22-May-02, 1.3623 ,30-May-02, 0.0263 
25-Apr-02, 4.0932 ,9-May-02, 0.7899 ,,,23-May-02, 1.3625 ,31-May-02, 0.0263 
26-Apr-02, 4.0667 ,10-May-02, 0.7876 ,,,24-May-02, 1.3627 ,3-Jun-02, 0.0263 
29-Apr-02, 4.0855 ,13-May-02, 0.7880 ,,,27-May-02, 1.3632 ,4-Jun-02, 0.0263 
30-Apr-02, 4.1587 ,14-May-02, 0.7846 ,,,28-May-02, 1.3634 ,5-Jun-02, 0.0263 
2-May-02, 4.2206 ,15-May-02, 0.7902 ,,,29-May-02, 1.3636 ,6-Jun-02, 0.0263 
3-May-02, 4.2278 ,16-May-02, 0.7889 ,,,30-May-02, 1.3638 ,7-Jun-02, 0.0263 
6-May-02, 4.2038 ,17-May-02, 0.7863 ,,,31-May-02, 1.3640 ,10-Jun-02, 0.0264 
7-May-02, 4.1491 ,20-May-02, 0.7836 ,,,3-Jun-02, 1.3646 ,11-Jun-02, 0.0264 
8-May-02, 4.1493 ,21-May-02, 0.7768 ,,,4-Jun-02, 1.3647 ,13-Jun-02, 0.0264 
10-May-02, 4.1958 ,22-May-02, 0.7731 ,,,5-Jun-02, 1.3649 ,14-Jun-02, 0.0262 
13-May-02, 4.1926 ,23-May-02, 0.7750 ,,,6-Jun-02, 1.3651 ,17-Jun-02, 0.0262 
14-May-02, 4.2000 ,24-May-02, 0.7799 ,,,7-Jun-02, 1.3653 ,18-Jun-02, 0.0262 
15-May-02, 4.2396 ,27-May-02, 0.7797 ,,,10-Jun-02, 1.3659 ,19-Jun-02, 0.0268 
16-May-02, 4.2237 ,28-May-02, 0.7761 ,,,11-Jun-02, 1.3661 ,20-Jun-02, 0.0262 
17-May-02, 4.1842 ,29-May-02, 0.7747 ,,,13-Jun-02, 1.3664 ,21-Jun-02, 0.0262 
20-May-02, 4.1690 ,30-May-02, 0.7774 ,,,14-Jun-02, 1.3666 ,24-Jun-02, 0.0260 
21-May-02, 4.1309 ,31-May-02, 0.7710 ,,,17-Jun-02, 1.3672 ,25-Jun-02, 0.0260 
22-May-02, 4.1099 ,3-Jun-02, 0.7755 ,,,18-Jun-02, 1.3674 ,26-Jun-02, 0.0261 
23-May-02, 4.1508 ,4-Jun-02, 0.7801 ,,,19-Jun-02, 1.3676 ,27-Jun-02, 0.0261 
24-May-02, 4.1725 ,5-Jun-02, 0.7703 ,,,20-Jun-02, 1.3678 ,28-Jun-02, 0.0261 
27-May-02, 4.1527 ,6-Jun-02, 0.7666 ,,,21-Jun-02, 1.3680 ,30-Jun-02, 0.0261 
28-May-02, 4.1334 ,10-Jun-02, 0.7577 ,,,24-Jun-02, 1.3685 ,1-Jul-02, 0.0261 
29-May-02, 4.1225 ,11-Jun-02, 0.7528 ,,,25-Jun-02, 1.3687 ,2-Jul-02, 0.0261 
30-May-02, 4.1460 ,13-Jun-02, 0.7491 ,,,26-Jun-02, 1.3689 ,3-Jul-02, 0.0262 
31-May-02, 4.1239 ,14-Jun-02, 0.7512 ,,,27-Jun-02, 1.3691 ,4-Jul-02, 0.0261 
3-Jun-02, 4.1388 ,17-Jun-02, 0.7439 ,,,28-Jun-02, 1.3693 ,5-Jul-02, 0.0263 
5-Jun-02, 4.1107 ,18-Jun-02, 0.7416 ,,,1-Jul-02, 1.3699 ,8-Jul-02, 0.0263 
6-Jun-02, 4.0852 ,19-Jun-02, 0.7261 ,,,2-Jul-02, 1.3701 ,9-Jul-02, 0.0263 
7-Jun-02, 4.0230 ,20-Jun-02, 0.7246 ,,,3-Jul-02, 1.3702 ,10-Jul-02, 0.0265 
10-Jun-02, 4.0421 ,21-Jun-02, 0.7240 ,,,4-Jul-02, 1.3704 ,11-Jul-02, 0.0265 
11-Jun-02, 4.0369 ,24-Jun-02, 0.7243 ,,,5-Jul-02, 1.3706 ,12-Jul-02, 0.0265 
13-Jun-02, 4.0110 ,25-Jun-02, 0.7167 ,,,8-Jul-02, 1.3712 ,16-Jul-02, 0.0265 
14-Jun-02, 3.9656 ,26-Jun-02, 0.7017 ,,,9-Jul-02, 1.3714 ,17-Jul-02, 0.0265 
17-Jun-02, 3.9379 ,27-Jun-02, 0.6990 ,,,10-Jul-02, 1.3716 ,18-Jul-02, 0.0268 
18-Jun-02, 3.9104 ,28-Jun-02, 0.6993 ,,,11-Jul-02, 1.3718 ,19-Jul-02, 0.0268 
19-Jun-02, 3.9096 ,1-Jul-02, 0.7175 ,,,12-Jul-02, 1.3720 ,22-Jul-02, 0.0268 
20-Jun-02, 3.9121 ,2-Jul-02, 0.7148 ,,,16-Jul-02, 1.3727 ,23-Jul-02, 0.0268 
21-Jun-02, 3.8957 ,3-Jul-02, 0.6915 ,,,17-Jul-02, 1.3729 ,24-Jul-02, 0.0268 
24-Jun-02, 3.8782 ,4-Jul-02, 0.6885 ,,,18-Jul-02, 1.3731 ,25-Jul-02, 0.0267 
25-Jun-02, 3.8538 ,5-Jul-02, 0.6804 ,,,19-Jul-02, 1.3733 ,26-Jul-02, 0.0267 
26-Jun-02, 3.8058 ,8-Jul-02, 0.6817 ,,,22-Jul-02, 1.3739 ,29-Jul-02, 0.0268 
27-Jun-02, 3.7904 ,9-Jul-02, 0.6903 ,,,23-Jul-02, 1.3741 ,30-Jul-02, 0.0268 
28-Jun-02, 3.8043 ,10-Jul-02, 0.6973 ,,,24-Jul-02, 1.3743 ,31-Jul-02, 0.0268 
1-Jul-02, 3.8590 ,11-Jul-02, 0.6901 ,,,25-Jul-02, 1.3745 ,1-Aug-02, 0.0268 
2-Jul-02, 3.8548 ,12-Jul-02, 0.7013 ,,,26-Jul-02, 1.3747 ,2-Aug-02, 0.0268 
3-Jul-02, 3.7705 ,16-Jul-02, 0.7048 ,,,29-Jul-02, 1.3753 ,3-Aug-02, 0.0270 
4-Jul-02, 3.7687 ,17-Jul-02, 0.6994 ,,,30-Jul-02, 1.3755 ,6-Aug-02, 0.0269 
5-Jul-02, 3.7258 ,18-Jul-02, 0.6995 ,,,31-Jul-02, 1.3757 ,7-Aug-02, 0.0266 
8-Jul-02, 3.7266 ,19-Jul-02, 0.7051 ,,,1-Aug-02, 1.3759 ,8-Aug-02, 0.0267 
9-Jul-02, 3.7711 ,22-Jul-02, 0.7017 ,,,2-Aug-02, 1.3761 ,9-Aug-02, 0.0267 
10-Jul-02, 3.7900 ,23-Jul-02, 0.7018 ,,,3-Aug-02, 1.3767 ,12-Aug-02, 0.0267 
11-Jul-02, 3.7402 ,24-Jul-02, 0.6972 ,,,6-Aug-02, 1.3769 ,13-Aug-02, 0.0267 
12-Jul-02, 3.7536 ,25-Jul-02, 0.6939 ,,,7-Aug-02, 1.3771 ,14-Aug-02, 0.0268 
16-Jul-02, 3.7719 ,26-Jul-02, 0.6880 ,,,8-Aug-02, 1.3773 ,15-Aug-02, 0.0268 
17-Jul-02, 3.7525 ,29-Jul-02, 0.6827 ,,,9-Aug-02, 1.3775 ,16-Aug-02, 0.0268 
18-Jul-02, 3.7604 ,30-Jul-02, 0.6851 ,,,12-Aug-02, 1.3781 ,19-Aug-02, 0.0270 
19-Jul-02, 3.7888 ,31-Jul-02, 0.6855 ,,,13-Aug-02, 1.3783 ,20-Aug-02, 0.0270 
22-Jul-02, 3.7591 ,1-Aug-02, 0.6878 ,,,14-Aug-02, 1.3785 ,21-Aug-02, 0.0270 
23-Jul-02, 3.7402 ,2-Aug-02, 0.6849 ,,,15-Aug-02, 1.3787 ,22-Aug-02, 0.0269 
24-Jul-02, 3.7291 ,5-Aug-02, 0.6831 ,,,16-Aug-02, 1.3789 ,23-Aug-02, 0.0271 
25-Jul-02, 3.7556 ,6-Aug-02, 0.6679 ,,,19-Aug-02, 1.3795 ,26-Aug-02, 0.0271 
26-Jul-02, 3.7212 ,7-Aug-02, 0.6711 ,,,20-Aug-02, 1.3797 ,27-Aug-02, 0.0271 
29-Jul-02, 3.7151 ,8-Aug-02, 0.6727 ,,,21-Aug-02, 1.3799 ,28-Aug-02, 0.0272 
30-Jul-02, 3.7254 ,9-Aug-02, 0.6773 ,,,22-Aug-02, 1.3801 ,29-Aug-02, 0.0271 
31-Jul-02, 3.7053 ,12-Aug-02, 0.6753 ,,,23-Aug-02, 1.3803 ,30-Aug-02, 0.0271 
1-Aug-02, 3.7154 ,13-Aug-02, 0.6896 ,,,24-Aug-02, 1.3809 ,2-Sep-02, 0.0272 
2-Aug-02, 3.7129 ,14-Aug-02, 0.6932 ,,,27-Aug-02, 1.3812 ,3-Sep-02, 0.0272 
5-Aug-02, 3.7037 ,15-Aug-02, 0.6927 ,,,28-Aug-02, 1.3814 ,4-Sep-02, 0.0272 
6-Aug-02, 3.6600 ,16-Aug-02, 0.6978 ,,,29-Aug-02, 1.3816 ,5-Sep-02, 0.0272 
7-Aug-02, 3.6815 ,19-Aug-02, 0.6948 ,,,30-Aug-02, 1.3818 ,6-Sep-02, 0.0272 
8-Aug-02, 3.6765 ,20-Aug-02, 0.6909 ,,,2-Sep-02, 1.3824 ,9-Sep-02, 0.0272 
9-Aug-02, 3.6689 ,21-Aug-02, 0.6789 ,,,3-Sep-02, 1.3826 ,10-Sep-02, 0.0273 
12-Aug-02, 3.6680 ,22-Aug-02, 0.6731 ,,,4-Sep-02, 1.3828 ,11-Sep-02, 0.0273 
13-Aug-02, 3.7110 ,23-Aug-02, 0.6683 ,,,5-Sep-02, 1.3830 ,12-Sep-02, 0.0273 
14-Aug-02, 3.7050 ,26-Aug-02, 0.6706 ,,,6-Sep-02, 1.3833 ,13-Sep-02, 0.0272 
15-Aug-02, 3.7086 ,27-Aug-02, 0.6728 ,,,9-Sep-02, 1.3839 ,16-Sep-02, 0.0273 
16-Aug-02, 3.7277 ,28-Aug-02, 0.6773 ,,,10-Sep-02, 1.3841 ,17-Sep-02, 0.0273 
19-Aug-02, 3.7188 ,29-Aug-02, 0.6755 ,,,11-Sep-02, 1.3843 ,18-Sep-02, 0.0273 
20-Aug-02, 3.7181 ,30-Aug-02, 0.6742 ,,,12-Sep-02, 1.3845 ,19-Sep-02, 0.0273 
21-Aug-02, 3.6889 ,2-Sep-02, 0.6718 ,,,13-Sep-02, 1.3847 ,20-Sep-02, 0.0273 
22-Aug-02, 3.6806 ,3-Sep-02, 0.6719 ,,,16-Sep-02, 1.3854 ,23-Sep-02, 0.0274 
23-Aug-02, 3.6738 ,4-Sep-02, 0.6796 ,,,17-Sep-02, 1.3856 ,24-Sep-02, 0.0274 
26-Aug-02, 3.6799 ,5-Sep-02, 0.6815 ,,,18-Sep-02, 1.3858 ,25-Sep-02, 0.0274 
27-Aug-02, 3.7071 ,6-Sep-02, 0.6828 ,,,19-Sep-02, 1.3860 ,26-Sep-02, 0.0274 
28-Aug-02, 3.7263 ,9-Sep-02, 0.6884 ,,,20-Sep-02, 1.3862 ,27-Sep-02, 0.0274 
29-Aug-02, 3.7276 ,10-Sep-02, 0.6884 ,,,23-Sep-02, 1.3868 ,30-Sep-02, 0.0274 
30-Aug-02, 3.7212 ,11-Sep-02, 0.6980 ,,,24-Sep-02, 1.3871 ,1-Oct-02, 0.0274 
2-Sep-02, 3.6912 ,12-Sep-02, 0.6946 ,,,25-Sep-02, 1.3873 ,2-Oct-02, 0.0274 
3-Sep-02, 3.6993 ,13-Sep-02, 0.6997 ,,,26-Sep-02, 1.3875 ,3-Oct-02, 0.0274 
4-Sep-02, 3.7062 ,16-Sep-02, 0.7022 ,,,27-Sep-02, 1.3877 ,4-Oct-02, 0.0274 
5-Sep-02, 3.7077 ,17-Sep-02, 0.7031 ,,,30-Sep-02, 1.3884 ,7-Oct-02, 0.0275 
6-Sep-02, 3.7134 ,18-Sep-02, 0.6998 ,,,1-Oct-02, 1.3886 ,8-Oct-02, 0.0275 
9-Sep-02, 3.7324 ,19-Sep-02, 0.7004 ,,,2-Oct-02, 1.3888 ,9-Oct-02, 0.0275 
10-Sep-02, 3.7383 ,20-Sep-02, 0.6977 ,,,3-Oct-02, 1.3890 ,10-Oct-02, 0.0275 
11-Sep-02, 3.7654 ,23-Sep-02, 0.6956 ,,,4-Oct-02, 1.3892 ,11-Oct-02, 0.0275 
12-Sep-02, 3.7552 ,24-Sep-02, 0.6876 ,,,7-Oct-02, 1.3899 ,14-Oct-02, 0.0275 
13-Sep-02, 3.7672 ,25-Sep-02, 0.6894 ,,,8-Oct-02, 1.3901 ,15-Oct-02, 0.0276 
16-Sep-02, 3.7729 ,26-Sep-02, 0.6866 ,,,9-Oct-02, 1.3903 ,16-Oct-02, 0.0276 
17-Sep-02, 3.7752 ,27-Sep-02, 0.6864 ,,,10-Oct-02, 1.3905 ,17-Oct-02, 0.0276 
18-Sep-02, 3.7677 ,30-Sep-02, 0.6861 ,,,11-Oct-02, 1.3907 ,18-Oct-02, 0.0276 
19-Sep-02, 3.7481 ,1-Oct-02, 0.6848 ,,,14-Oct-02, 1.3914 ,21-Oct-02, 0.0276 
20-Sep-02, 3.7337 ,2-Oct-02, 0.6843 ,,,15-Oct-02, 1.3916 ,22-Oct-02, 0.0277 
23-Sep-02, 3.7271 ,3-Oct-02, 0.6791 ,,,16-Oct-02, 1.3918 ,23-Oct-02, 0.0277 
24-Sep-02, 3.7013 ,4-Oct-02, 0.6783 ,,,17-Oct-02, 1.3920 ,24-Oct-02, 0.0277 
25-Sep-02, 3.7004 ,7-Oct-02, 0.6767 ,,,18-Oct-02, 1.3922 ,25-Oct-02, 0.0277 
26-Sep-02, 3.6958 ,8-Oct-02, 0.6667 ,,,21-Oct-02, 1.3929 ,28-Oct-02, 0.0277 
27-Sep-02, 3.7054 ,9-Oct-02, 0.6692 ,,,22-Oct-02, 1.3931 ,29-Oct-02, 0.0277 
30-Sep-02, 3.6974 ,10-Oct-02, 0.6601 ,,,23-Oct-02, 1.3933 ,30-Oct-02, 0.0277 
1-Oct-02, 3.7018 ,11-Oct-02, 0.6649 ,,,24-Oct-02, 1.3935 ,31-Oct-02, 0.0277 
2-Oct-02, 3.7023 ,14-Oct-02, 0.6626 ,,,25-Oct-02, 1.3938 ,4-Nov-02, 0.0277 
3-Oct-02, 3.6894 ,15-Oct-02, 0.6528 ,,,28-Oct-02, 1.3944 ,5-Nov-02, 0.0277 
4-Oct-02, 3.6762 ,16-Oct-02, 0.6536 ,,,29-Oct-02, 1.3946 ,6-Nov-02, 0.0277 
7-Oct-02, 3.6622 ,17-Oct-02, 0.6503 ,,,30-Oct-02, 1.3949 ,7-Nov-02, 0.0278 
8-Oct-02, 3.6335 ,18-Oct-02, 0.6480 ,,,31-Oct-02, 1.3951 ,8-Nov-02, 0.0278 
9-Oct-02, 3.6390 ,21-Oct-02, 0.6386 ,,,4-Nov-02, 1.3960 ,11-Nov-02, 0.0278 
10-Oct-02, 3.6127 ,22-Oct-02, 0.6407 ,,,5-Nov-02, 1.3962 ,12-Nov-02, 0.0278 
11-Oct-02, 3.6338 ,23-Oct-02, 0.6374 ,,,6-Nov-02, 1.3964 ,13-Nov-02, 0.0278 
14-Oct-02, 3.6236 ,24-Oct-02, 0.6447 ,,,7-Nov-02, 1.3966 ,14-Nov-02, 0.0278 
15-Oct-02, 3.5960 ,25-Oct-02, 0.6470 ,,,8-Nov-02, 1.3969 ,15-Nov-02, 0.0278 
16-Oct-02, 3.6191 ,28-Oct-02, 0.6547 ,,,11-Nov-02, 1.3975 ,18-Nov-02, 0.0278 
17-Oct-02, 3.6314 ,29-Oct-02, 0.6538 ,,,12-Nov-02, 1.3977 ,19-Nov-02, 0.0278 
18-Oct-02, 3.6356 ,30-Oct-02, 0.6546 ,,,13-Nov-02, 1.3980 ,20-Nov-02, 0.0278 
21-Oct-02, 3.6110 ,4-Nov-02, 0.6562 ,,,14-Nov-02, 1.3982 ,21-Nov-02, 0.0278 
22-Oct-02, 3.6492 ,5-Nov-02, 0.6519 ,,,15-Nov-02, 1.3984 ,22-Nov-02, 0.0279 
23-Oct-02, 3.6368 ,6-Nov-02, 0.6606 ,,,18-Nov-02, 1.3991 ,25-Nov-02, 0.0279 
24-Oct-02, 3.6558 ,7-Nov-02, 0.6714 ,,,19-Nov-02, 1.3993 ,26-Nov-02, 0.0279 
25-Oct-02, 3.6661 ,8-Nov-02, 0.6670 ,,,20-Nov-02, 1.3995 ,27-Nov-02, 0.0278 
28-Oct-02, 3.6736 ,11-Nov-02, 0.6616 ,,,21-Nov-02, 1.3997 ,28-Nov-02, 0.0278 
29-Oct-02, 3.6936 ,12-Nov-02, 0.6578 ,,,22-Nov-02, 1.3999 ,29-Nov-02, 0.0278 
30-Oct-02, 3.7108 ,13-Nov-02, 0.6598 ,,,25-Nov-02, 1.4006 ,2-Dec-02, 0.0278 
4-Nov-02, 3.7109 ,14-Nov-02, 0.6611 ,,,26-Nov-02, 1.4008 ,3-Dec-02, 0.0278 
5-Nov-02, 3.7031 ,15-Nov-02, 0.6595 ,,,27-Nov-02, 1.4011 ,4-Dec-02, 0.0279 
6-Nov-02, 3.7375 ,18-Nov-02, 0.6476 ,,,28-Nov-02, 1.4013 ,5-Dec-02, 0.0278 
7-Nov-02, 3.7719 ,19-Nov-02, 0.6429 ,,,29-Nov-02, 1.4015 ,9-Dec-02, 0.0279 
8-Nov-02, 3.7335 ,20-Nov-02, 0.6480 ,,,2-Dec-02, 1.4022 ,10-Dec-02, 0.0279 
11-Nov-02, 3.7218 ,21-Nov-02, 0.6463 ,,,3-Dec-02, 1.4024 ,11-Dec-02, 0.0278 
12-Nov-02, 3.7123 ,22-Nov-02, 0.6585 ,,,4-Dec-02, 1.4027 ,12-Dec-02, 0.0279 
13-Nov-02, 3.7155 ,25-Nov-02, 0.6590 ,,,5-Dec-02, 1.4029 ,13-Dec-02, 0.0279 
14-Nov-02, 3.7422 ,26-Nov-02, 0.6560 ,,,9-Dec-02, 1.4038 ,16-Dec-02, 0.0279 
15-Nov-02, 3.7407 ,27-Nov-02, 0.6490 ,,,10-Dec-02, 1.4040 ,17-Dec-02, 0.0279 
18-Nov-02, 3.6993 ,28-Nov-02, 0.6517 ,,,11-Dec-02, 1.4042 ,18-Dec-02, 0.0278 
19-Nov-02, 3.6630 ,29-Nov-02, 0.6536 ,,,12-Dec-02, 1.4045 ,19-Dec-02, 0.0278 
20-Nov-02, 3.6743 ,2-Dec-02, 0.6459 ,,,13-Dec-02, 1.4047 ,20-Dec-02, 0.0278 
21-Nov-02, 3.6873 ,3-Dec-02, 0.6511 ,,,16-Dec-02, 1.4054 ,23-Dec-02, 0.0278 
22-Nov-02, 3.7183 ,4-Dec-02, 0.6481 ,,,17-Dec-02, 1.4056 ,26-Dec-02, 0.0279 
25-Nov-02, 3.7423 ,5-Dec-02, 0.6456 ,,,18-Dec-02, 1.4058 ,27-Dec-02, 0.0279 
26-Nov-02, 3.7433 ,9-Dec-02, 0.6434 ,,,19-Dec-02, 1.4060 ,2-Jan-03, 0.0279 
27-Nov-02, 3.7174 ,10-Dec-02, 0.6362 ,,,20-Dec-02, 1.4063 ,3-Jan-03, 0.0279 
28-Nov-02, 3.7224 ,11-Dec-02, 0.6367 ,,,23-Dec-02, 1.4069 ,4-Jan-03, 0.0279 
29-Nov-02, 3.7443 ,12-Dec-02, 0.6423 ,,,26-Dec-02, 1.4077 ,7-Jan-03, 0.0280 
2-Dec-02, 3.7426 ,13-Dec-02, 0.6444 ,,,27-Dec-02, 1.4079 ,8-Jan-03, 0.0280 
3-Dec-02, 3.7383 ,16-Dec-02, 0.6390 ,,,2-Jan-03, 1.4081 ,9-Jan-03, 0.0280 
4-Dec-02, 3.7206 ,17-Dec-02, 0.6366 ,,,3-Jan-03, 1.4084 ,10-Jan-03, 0.0280 
5-Dec-02, 3.7135 ,18-Dec-02, 0.6383 ,,,6-Jan-03, 1.4091 ,11-Jan-03, 0.0279 
9-Dec-02, 3.6996 ,19-Dec-02, 0.6289 ,,,7-Jan-03, 1.4093 ,14-Jan-03, 0.0280 
10-Dec-02, 3.6536 ,20-Dec-02, 0.6312 ,,,8-Jan-03, 1.4096 ,15-Jan-03, 0.0280 
11-Dec-02, 3.6756 ,23-Dec-02, 0.6349 ,,,9-Jan-03, 1.4098 ,16-Jan-03, 0.0281 
12-Dec-02, 3.6984 ,26-Dec-02, 0.6386 ,,,10-Jan-03, 1.4101 ,17-Jan-03, 0.0281 
13-Dec-02, 3.6954 ,27-Dec-02, 0.6397 ,,,13-Jan-03, 1.4108 ,20-Jan-03, 0.0281 
16-Dec-02, 3.6964 ,2-Jan-03, 0.6332 ,,,14-Jan-03, 1.4110 ,21-Jan-03, 0.0281 
17-Dec-02, 3.6965 ,3-Jan-03, 0.6349 ,,,15-Jan-03, 1.4112 ,22-Jan-03, 0.0281 
18-Dec-02, 3.6900 ,6-Jan-03, 0.6369 ,,,16-Jan-03, 1.4106 ,23-Jan-03, 0.0281 
19-Dec-02, 3.6695 ,7-Jan-03, 0.6393 ,,,17-Jan-03, 1.4108 ,24-Jan-03, 0.0281 
20-Dec-02, 3.6666 ,8-Jan-03, 0.6497 ,,,18-Jan-03, 1.4115 ,27-Jan-03, 0.0282 
23-Dec-02, 3.6725 ,9-Jan-03, 0.6469 ,,,21-Jan-03, 1.4118 ,28-Jan-03, 0.0282 
26-Dec-02, 3.6809 ,10-Jan-03, 0.6585 ,,,22-Jan-03, 1.4120 ,29-Jan-03, 0.0282 
27-Dec-02, 3.7032 ,13-Jan-03, 0.6565 ,,,23-Jan-03, 1.4122 ,30-Jan-03, 0.0282 
2-Jan-03, 3.6932 ,14-Jan-03, 0.6595 ,,,24-Jan-03, 1.4124 ,31-Jan-03, 0.0282 
3-Jan-03, 3.6988 ,15-Jan-03, 0.6660 ,,,27-Jan-03, 1.4131 ,3-Feb-03, 0.0282 
6-Jan-03, 3.7199 ,16-Jan-03, 0.6642 ,,,28-Jan-03, 1.4133 ,4-Feb-03, 0.0282 
7-Jan-03, 3.7273 ,17-Jan-03, 0.6677 ,,,29-Jan-03, 1.4135 ,5-Feb-03, 0.0282 
8-Jan-03, 3.7492 ,20-Jan-03, 0.6605 ,,,30-Jan-03, 1.4138 ,6-Feb-03, 0.0283 
9-Jan-03, 3.7460 ,21-Jan-03, 0.6576 ,,,31-Jan-03, 1.4140 ,7-Feb-03, 0.0283 
10-Jan-03, 3.7784 ,22-Jan-03, 0.6545 ,,,3-Feb-03, 1.4146 ,10-Feb-03, 0.0283 
13-Jan-03, 3.7775 ,23-Jan-03, 0.6525 ,,,4-Feb-03, 1.4149 ,11-Feb-03, 0.0283 
14-Jan-03, 3.7940 ,24-Jan-03, 0.6533 ,,,5-Feb-03, 1.4151 ,12-Feb-03, 0.0283 
15-Jan-03, 3.8191 ,27-Jan-03, 0.6473 ,,,6-Feb-03, 1.4153 ,13-Feb-03, 0.0283 
16-Jan-03, 3.8007 ,28-Jan-03, 0.6459 ,,,7-Feb-03, 1.4155 ,14-Feb-03, 0.0283 
17-Jan-03, 3.8112 ,29-Jan-03, 0.6471 ,,,10-Feb-03, 1.4162 ,17-Feb-03, 0.0283 
20-Jan-03, 3.7951 ,30-Jan-03, 0.6474 ,,,11-Feb-03, 1.4164 ,18-Feb-03, 0.0283 
21-Jan-03, 3.7839 ,31-Jan-03, 0.6547 ,,,12-Feb-03, 1.4166 ,19-Feb-03, 0.0283 
22-Jan-03, 3.7697 ,3-Feb-03, 0.6551 ,,,13-Feb-03, 1.4168 ,20-Feb-03, 0.0283 
23-Jan-03, 3.7586 ,4-Feb-03, 0.6515 ,,,14-Feb-03, 1.4171 ,21-Feb-03, 0.0283 
24-Jan-03, 3.7624 ,5-Feb-03, 0.6462 ,,,15-Feb-03, 1.4177 ,24-Feb-03, 0.0283 
27-Jan-03, 3.7519 ,6-Feb-03, 0.6454 ,,,18-Feb-03, 1.4179 ,26-Feb-03, 0.0283 
28-Jan-03, 3.7511 ,7-Feb-03, 0.6477 ,,,19-Feb-03, 1.4181 ,27-Feb-03, 0.0283 
29-Jan-03, 3.7553 ,10-Feb-03, 0.6469 ,,,20-Feb-03, 1.4184 ,28-Feb-03, 0.0284 
30-Jan-03, 3.7597 ,11-Feb-03, 0.6491 ,,,21-Feb-03, 1.4186 ,3-Mar-03, 0.0283 
31-Jan-03, 3.7860 ,12-Feb-03, 0.6477 ,,,24-Feb-03, 1.4192 ,4-Mar-03, 0.0283 
3-Feb-03, 3.7857 ,13-Feb-03, 0.6472 ,,,26-Feb-03, 1.4197 ,5-Mar-03, 0.0285 
4-Feb-03, 3.7863 ,14-Feb-03, 0.6443 ,,,27-Feb-03, 1.4199 ,6-Mar-03, 0.0283 
5-Feb-03, 3.7697 ,17-Feb-03, 0.6453 ,,,28-Feb-03, 1.4202 ,7-Mar-03, 0.0283 
6-Feb-03, 3.7671 ,18-Feb-03, 0.6427 ,,,3-Mar-03, 1.4209 ,10-Mar-03, 0.0283 
7-Feb-03, 3.7574 ,19-Feb-03, 0.6418 ,,,4-Mar-03, 1.4212 ,11-Mar-03, 0.0283 
10-Feb-03, 3.7753 ,20-Feb-03, 0.6388 ,,,5-Mar-03, 1.4215 ,12-Mar-03, 0.0283 
11-Feb-03, 3.7902 ,21-Feb-03, 0.6352 ,,,6-Mar-03, 1.4217 ,13-Mar-03, 0.0286 
12-Feb-03, 3.7916 ,24-Feb-03, 0.6344 ,,,7-Mar-03, 1.4220 ,14-Mar-03, 0.0283 
13-Feb-03, 3.7924 ,26-Feb-03, 0.6279 ,,,10-Mar-03, 1.4227 ,15-Mar-03, 0.0283 
14-Feb-03, 3.7816 ,27-Feb-03, 0.6312 ,,,11-Mar-03, 1.4230 ,18-Mar-03, 0.0283 
17-Feb-03, 3.7858 ,28-Feb-03, 0.6371 ,,,12-Mar-03, 1.4232 ,19-Mar-03, 0.0283 
18-Feb-03, 3.8012 ,3-Mar-03, 0.6396 ,,,13-Mar-03, 1.4235 ,20-Mar-03, 0.0282 
