Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
9-Nov-94, 1.1413 ,,,,,,,,
10-Nov-94, 1.1203 ,,,,,,,,
11-Nov-94, 1.1135 ,,,,,,,,
14-Nov-94, 1.1097 ,,,,,,,,
15-Nov-94, 1.1133 ,,,,,,,,
16-Nov-94, 1.1063 ,,,,,,,,
17-Nov-94, 1.1107 ,,,,,,,,
18-Nov-94, 1.1145 ,,,,,,,,
21-Nov-94, 1.1112 ,,,,,,,,
22-Nov-94, 1.0978 ,,,,,,,,
23-Nov-94, 1.0712 ,,,,,,,,
24-Nov-94, 1.0709 ,,,,,,,,
25-Nov-94, 1.0680 ,,,,,,,,
28-Nov-94, 1.0604 ,,,,,,,,
29-Nov-94, 1.0604 ,,,,,,,,
1-Dec-94, 1.0585 ,,,,,,,,
4-Dec-94, 1.0508 ,,,,,,,,
5-Dec-94, 1.0544 ,,,,,,,,
6-Dec-94, 1.0586 ,,,,,,,,
7-Dec-94, 1.0589 ,,,,,,,,
8-Dec-94, 1.0600 ,,,,,,,,
9-Dec-94, 1.0541 ,,,,,,,,
12-Dec-94, 1.0524 ,,,,,,,,
13-Dec-94, 1.0978 ,,,,,,,,
14-Dec-94, 1.0971 ,,,,,,,,
15-Dec-94, 1.1019 ,,,,,,,,
16-Dec-94, 1.1032 ,,,,,,,,
19-Dec-94, 1.1036 ,,,,,,,,
20-Dec-94, 1.1021 ,,,,,,,,
21-Dec-94, 1.1040 ,,,,,,,,
22-Dec-94, 1.1037 ,,,,,,,,
23-Dec-94, 1.1044 ,,,,,,,,
26-Dec-94, 1.1042 ,,,,,,,,
27-Dec-94, 1.1074 ,,,,,,,,
28-Dec-94, 1.1073 ,,,,,,,,
29-Dec-94, 1.1097 ,,,,,,,,
2-Jan-95, 1.1095 ,,,,,,,,
3-Jan-95, 1.1103 ,,,,,,,,
4-Jan-95, 1.1084 ,,,,,,,,
5-Jan-95, 1.1086 ,,,,,,,,
6-Jan-95, 1.1107 ,,,,,,,,
9-Jan-95, 1.1082 ,,,,,,,,
10-Jan-95, 1.1044 ,,,,,,,,
11-Jan-95, 1.1033 ,,,,,,,,
13-Jan-95, 1.0893 ,,,,,,,,
16-Jan-95, 1.0897 ,,,,,,,,
17-Jan-95, 1.0951 ,,,,,,,,
18-Jan-95, 1.0941 ,,,,,,,,
19-Jan-95, 1.0955 ,,,,,,,,
20-Jan-95, 1.1048 ,,,,,,,,
23-Jan-95, 1.0820 ,,,,,,,,
24-Jan-95, 1.0773 ,,,,,,,,
25-Jan-95, 1.0799 ,,,,,,,,
26-Jan-95, 1.0815 ,,,,,,,,
27-Jan-95, 1.0788 ,,,,,,,,
30-Jan-95, 1.0794 ,,,,,,,,
31-Jan-95, 1.0804 ,,,,,,,,
1-Feb-95, 1.0887 ,,,,,,,,
2-Feb-95, 1.0874 ,,,,,,,,
3-Feb-95, 1.0930 ,,,,,,,,
6-Feb-95, 1.0987 ,,,,,,,,
7-Feb-95, 1.0998 ,,,,,,,,
8-Feb-95, 1.0954 ,,,,,,,,
9-Feb-95, 1.0922 ,,,,,,,,
10-Feb-95, 1.0979 ,,,,,,,,
13-Feb-95, 1.1004 ,,,,,,,,
14-Feb-95, 1.1165 ,,,,,,,,
15-Feb-95, 1.1064 ,,,,,,,,
16-Feb-95, 1.1093 ,,,,,,,,
17-Feb-95, 1.1079 ,,,,,,,,
20-Feb-95, 1.1079 ,,,,,,,,
21-Feb-95, 1.1073 ,,,,,,,,
22-Feb-95, 1.1088 ,,,,,,,,
23-Feb-95, 1.1088 ,,,,,,,,
24-Feb-95, 1.1029 ,,,,,,,,
27-Feb-95, 1.0869 ,,,,,,,,
28-Feb-95, 1.0934 ,,,,,,,,
1-Mar-95, 1.0883 ,,,,,,,,
2-Mar-95, 1.0928 ,,,,,,,,
3-Mar-95, 1.0895 ,,,,,,,,
6-Mar-95, 1.0858 ,,,,,,,,
7-Mar-95, 1.0850 ,,,,,,,,
8-Mar-95, 1.0850 ,,,,,,,,
9-Mar-95, 1.0850 ,,,,,,,,
10-Mar-95, 1.0850 ,,,,,,,,
13-Mar-95, 1.0692 ,,,,,,,,
14-Mar-95, 1.0605 ,,,,,,,,
15-Mar-95, 1.0604 ,,,,,,,,
16-Mar-95, 1.0677 ,,,,,,,,
17-Mar-95, 1.0677 ,,,,,,,,
20-Mar-95, 1.0861 ,,,,,,,,
21-Mar-95, 1.0807 ,,,,,,,,
22-Mar-95, 1.0814 ,,,,,,,,
23-Mar-95, 1.0814 ,,,,,,,,
24-Mar-95, 1.0757 ,,,,,,,,
27-Mar-95, 1.0744 ,,,,,,,,
28-Mar-95, 1.0876 ,,,,,,,,
29-Mar-95, 1.1029 ,,,,,,,,
30-Mar-95, 1.1135 ,,,,,,,,
31-Mar-95, 1.1266 ,,,,,,,,
3-Apr-95, 1.1230 ,,,,,,,,
4-Apr-95, 1.1399 ,,,,,,,,
5-Apr-95, 1.1341 ,,,,,,,,
6-Apr-95, 1.1475 ,,,,,,,,
7-Apr-95, 1.1407 ,,,,,,,,
10-Apr-95, 1.1489 ,,,,,,,,
11-Apr-95, 1.1523 ,,,,,,,,
12-Apr-95, 1.1529 ,,,,,,,,
17-Apr-95, 1.1506 ,,,,,,,,
18-Apr-95, 1.1497 ,,,,,,,,
19-Apr-95, 1.1439 ,,,,,,,,
20-Apr-95, 1.1560 ,,,,,,,,
21-Apr-95, 1.1632 ,,,,,,,,
24-Apr-95, 1.1561 ,,,,,,,,
25-Apr-95, 1.1285 ,,,,,,,,
26-Apr-95, 1.1334 ,,,,,,,,
27-Apr-95, 1.1319 ,,,,,,,,
28-Apr-95, 1.1382 ,,,,,,,,
2-May-95, 1.1534 ,,,,,,,,
3-May-95, 1.1566 ,,,,,,,,
